UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
4433414,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Cage trap,27/APR/1988,-37.6313,145.3019,100,5,,,Captured and released,FAUNA,21,VIC,356,7,368,697558,,16/AUG/11 12:00:00.000000000 AM
4434580,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Spotlighting,18/DEC/1987,-38.41044,144.99177,100,1,,,Observation,FAUNA,8,VIC,352,7,167,697632,,16/AUG/11 12:00:00.000000000 AM
4529470,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Faunatech hair tubes(bait type in X),19/APR/1998,-37.41181,146.33513,100,4,,Carnivore bait,Identified from hair or scats,FAUNA,18,VIC,382,6,,702674,,16/AUG/11 12:00:00.000000000 AM
4529471,11028,Antechinus agilis,Agile Antechinus,Mammals,Unconfirmed,2,,,Faunatech hair tubes(bait type in X),19/APR/1998,-37.41181,146.33513,100,2,,Carnivore bait,Identified from hair or scats,FAUNA,18,VIC,382,6,,702674,,16/AUG/11 12:00:00.000000000 AM
4529474,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Faunatech hair tubes(bait type in X),19/APR/1998,-37.41181,146.33513,100,3,,Carnivore bait,Identified from hair or scats,FAUNA,18,VIC,382,6,,702674,,16/AUG/11 12:00:00.000000000 AM
4530490,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Faunatech hair tubes(bait type in X),30/APR/1998,-37.34145,147.17118,100,6,,Carnivore bait,Identified from hair or scats,FAUNA,15,VIC,370,10,2924,702801,,16/AUG/11 12:00:00.000000000 AM
4530492,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Faunatech hair tubes(bait type in X),30/APR/1998,-37.34145,147.17118,100,1,,Carnivore bait,Identified from hair or scats,FAUNA,15,VIC,370,10,2924,702801,,16/AUG/11 12:00:00.000000000 AM
4531987,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Faunatech hair tubes(bait type in X),24/MAY/1998,-37.40966,147.72389,100,4,,Carnivore bait,Identified from hair or scats,FAUNA,7,VIC,319,10,,703021,,16/AUG/11 12:00:00.000000000 AM
4531988,11028,Antechinus agilis,Agile Antechinus,Mammals,Unconfirmed,2,,,Faunatech hair tubes(bait type in X),24/MAY/1998,-37.40966,147.72389,100,3,,Carnivore bait,Identified from hair or scats,FAUNA,7,VIC,319,10,,703021,,16/AUG/11 12:00:00.000000000 AM
4531989,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Faunatech hair tubes(bait type in X),24/MAY/1998,-37.40966,147.72389,100,3,,Carnivore bait,Identified from hair or scats,FAUNA,7,VIC,319,10,,703021,,16/AUG/11 12:00:00.000000000 AM
