UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
9014192,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,,0,,,Incidental,25/SEP/2018,-34.390288,141.391064,10,1,,,Seen,FAUNA,3,VIC,345,1,352,1747986,indig,17/JAN/19 08:55:27.583000000 AM
4040936,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Bird transect,24/JUN/1997,-34.42418,141.43176,100,1,,,Observation,FAUNA,15,VIC,345,1,352,451610,,16/AUG/11 12:00:00.000000000 AM
4040936,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Bird transect,24/JUN/1997,-34.42418,141.43176,100,1,,,Observation,FAUNA,15,VIC,345,1,352,451610,,16/AUG/11 12:00:00.000000000 AM
4040932,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Bird transect,24/JUN/1997,-34.42418,141.43176,100,1,,,Heard,FAUNA,15,VIC,345,1,352,451610,,16/AUG/11 12:00:00.000000000 AM
6268995,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,,,Suspect wrong treecreeper species code used here.  Should be White-throated (VBA 10558). M.O'B,Timed bird census,21/NOV/2011,-37.96797,145.64241,100,1,,,Heard,FAUNA,16,VIC,311,7,3329,991644,,22/AUG/13 09:37:22.527000000 AM
6995837,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),13/NOV/1998,-34.41667,141.43333,100,2,,,Captured and released,FAUNA,1,VIC,345,,352,1116823,,15/APR/16 11:12:40.000000000 AM
9013231,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,,0,,,Bird transect,27/SEP/2018,-34.3724,141.35532,100,1,,,Heard,FAUNA,17,VIC,345,1,,1747612,indig,12/JAN/19 11:44:14.509000000 AM
3802281,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,20/FEB/1987,-34.42956,141.44267,100,3,,,Observation,FAUNA,13,VIC,345,1,352,582901,,16/AUG/11 12:00:00.000000000 AM
5614682,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Bird transect,14/SEP/2006,-34.38093,141.38311,100,1,,,Seen,FAUNA,10,VIC,345,1,,931085,,16/AUG/11 12:00:00.000000000 AM
6269180,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,,,Suspect wrong treecreeper species code used here.  Should be White-throated (VBA 10558). M.O'B,Timed bird census,08/AUG/2011,-37.96797,145.64241,100,1,,,Heard,FAUNA,7,VIC,311,7,3329,991674,,22/AUG/13 09:44:38.621000000 AM
7001593,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),22/SEP/1998,-34.41667,141.43333,100,2,,,Captured and released,FAUNA,1,VIC,345,,352,1118776,,15/APR/16 11:12:40.000000000 AM
7506026,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Birds Australia 5km area search,22/AUG/2006,-35.44489,141.99632,100,,,,Observation,FAUNA,25,VIC,345,,3309,1186519,,03/JUN/16 02:02:30.000000000 PM
7812393,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Birds Australia 2ha search,14/DEC/2009,-34.40972,141.43971,100,3,,,Observation,FAUNA,9,VIC,345,,352,1199336,,03/JUN/16 02:02:30.000000000 PM
4038734,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,15/NOV/1997,-35.19501,142.14979,100,2,,Breeding,Seen,FAUNA,22,VIC,345,1,2598,451353,,16/AUG/11 12:00:00.000000000 AM
3797538,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,15/NOV/1985,-34.39637,141.38919,100,2,,,Observation,FAUNA,9,VIC,345,1,352,581501,,16/AUG/11 12:00:00.000000000 AM
6996528,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),21/NOV/1998,-34.41667,141.43333,100,3,,,Captured and released,FAUNA,1,VIC,345,,352,1117068,,15/APR/16 11:12:40.000000000 AM
6996581,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),27/OCT/1999,-34.41667,141.43333,100,4,,,Captured and released,FAUNA,1,VIC,345,,352,1117098,,15/APR/16 11:12:40.000000000 AM
